Id,Index,SubIndex,Access,Type,Length
338,2103,01,Read,UNSIGNED32,32
339,2103,02,Read,UNSIGNED32,32
340,2290,00,Read/Write,UNSIGNED8,8
341,2291,00,Read,UNSIGNED8,8
342,2291,01,Read/Write,INTEGER32,32
343,2291,02,Read/Write,INTEGER16,16
344,2291,03,Read/Write,INTEGER8,8
345,2291,04,Read/Write,INTEGER8,8
346,2292,00,Read,UNSIGNED8,8
347,2292,01,Read,INTEGER16,16
348,2292,02,Read,INTEGER32,32
349,2300,00,Read/Write,UNSIGNED32,32
350,2301,00,Read,UNSIGNED32,32
351,2302,00,Read,UNSIGNED32,32
352,230E,00,Read,UNSIGNED8,8
353,230E,01,Read,UNSIGNED32,32
354,230F,00,Read,UNSIGNED32,32
355,2310,00,Read,UNSIGNED8,8
356,2310,01,Read,UNSIGNED32,32
357,2310,02,Read,UNSIGNED32,32
358,2310,03,Read,UNSIGNED32,32
359,2310,04,Read,UNSIGNED32,32
360,2310,05,Read,UNSIGNED32,32
361,2310,06,Read,UNSIGNED32,32
362,2310,07,Read,UNSIGNED32,32
363,2310,08,Read,UNSIGNED32,32
364,2310,09,Read,UNSIGNED32,32
365,2310,0A,Read,UNSIGNED32,32
366,2310,0B,Read,UNSIGNED32,32
367,2310,0C,Read,UNSIGNED32,32
368,2310,0D,Read,UNSIGNED32,32
369,2310,0E,Read,UNSIGNED32,32
370,2310,0F,Read,UNSIGNED32,32
371,2310,10,Read,UNSIGNED32,32
372,2320,00,Read,UNSIGNED8,8
373,2320,01,Read,UNSIGNED32,32
374,2320,02,Read,UNSIGNED32,32
375,2320,03,Read,UNSIGNED32,32
376,2320,04,Read,UNSIGNED32,32
377,2320,05,Read,UNSIGNED32,32
378,2320,06,Read,UNSIGNED32,32
379,2320,07,Read,UNSIGNED32,32
380,2320,08,Read,UNSIGNED32,32
381,2320,09,Read,UNSIGNED32,32
382,2320,0A,Read,UNSIGNED32,32
383,2320,0B,Read,UNSIGNED32,32
384,2320,0C,Read,UNSIGNED32,32
385,2320,0D,Read,UNSIGNED32,32
386,2320,0E,Read,UNSIGNED32,32
387,2320,0F,Read,UNSIGNED32,32
388,2320,10,Read,UNSIGNED32,32
389,2330,00,Read,UNSIGNED8,8
390,2330,01,Read,UNSIGNED32,32
391,2330,02,Read,UNSIGNED32,32
392,2330,03,Read,UNSIGNED32,32
393,2330,04,Read,UNSIGNED32,32
394,2330,05,Read,UNSIGNED32,32
395,2330,06,Read,UNSIGNED32,32
396,2330,07,Read,UNSIGNED32,32
397,2330,08,Read,UNSIGNED32,32
398,2330,09,Read,UNSIGNED32,32
399,2330,0A,Read,UNSIGNED32,32
400,2330,0B,Read,UNSIGNED32,32
401,2330,0C,Read,UNSIGNED32,32
402,2330,0D,Read,UNSIGNED32,32
403,2330,0E,Read,UNSIGNED32,32
404,2330,0F,Read,UNSIGNED32,32
405,2330,10,Read,UNSIGNED32,32
406,2400,00,Read,UNSIGNED8,8
407,2400,01,Read/Write,INTEGER32,32
408,2400,02,Read/Write,INTEGER32,32
409,2400,03,Read/Write,INTEGER32,32
410,2400,04,Read/Write,INTEGER32,32
411,2400,05,Read/Write,INTEGER32,32
412,2400,06,Read/Write,INTEGER32,32
413,2400,07,Read/Write,INTEGER32,32
414,2400,08,Read/Write,INTEGER32,32
415,2400,09,Read/Write,INTEGER32,32
416,2400,0A,Read/Write,INTEGER32,32
417,2400,0B,Read/Write,INTEGER32,32
418,2400,0C,Read/Write,INTEGER32,32
419,2400,0D,Read/Write,INTEGER32,32
420,2400,0E,Read/Write,INTEGER32,32
421,2400,0F,Read/Write,INTEGER32,32
422,2400,10,Read/Write,INTEGER32,32
423,2400,11,Read/Write,INTEGER32,32
424,2400,12,Read/Write,INTEGER32,32
425,2400,13,Read/Write,INTEGER32,32
426,2400,14,Read/Write,INTEGER32,32
427,2400,15,Read/Write,INTEGER32,32
428,2400,16,Read/Write,INTEGER32,32
429,2400,17,Read/Write,INTEGER32,32
430,2400,18,Read/Write,INTEGER32,32
431,2400,19,Read/Write,INTEGER32,32
432,2400,1A,Read/Write,INTEGER32,32
433,2400,1B,Read/Write,INTEGER32,32
434,2400,1C,Read/Write,INTEGER32,32
435,2400,1D,Read/Write,INTEGER32,32
436,2400,1E,Read/Write,INTEGER32,32
437,2400,1F,Read/Write,INTEGER32,32
438,2400,20,Read/Write,INTEGER32,32
439,2410,00,Read,UNSIGNED8,8
440,2410,01,Read/Write,INTEGER32,32
441,2410,02,Read/Write,INTEGER32,32
442,2410,03,Read/Write,INTEGER32,32
443,2410,04,Read/Write,INTEGER32,32
444,2410,05,Read/Write,INTEGER32,32
445,2410,06,Read/Write,INTEGER32,32
446,2410,07,Read/Write,INTEGER32,32
447,2410,08,Read/Write,INTEGER32,32
448,2410,09,Read/Write,INTEGER32,32
449,2410,0A,Read/Write,INTEGER32,32
450,2410,0B,Read/Write,INTEGER32,32
451,2410,0C,Read/Write,INTEGER32,32
452,2410,0D,Read/Write,INTEGER32,32
453,2410,0E,Read/Write,INTEGER32,32
454,2410,0F,Read/Write,INTEGER32,32
455,2410,10,Read/Write,INTEGER32,32
456,2410,11,Read/Write,INTEGER32,32
